marca_busqueda;modelo;precio_€;kilometros;año;potencia;motor;fecha_captura;ext_kW;ext_CV;tipo_motor_normalizado;fecha_matriculacion;qa_flags
Tesla;Tesla Model 3 Standard RWD Plus;23990;80955.0;03/2021;239 kW (325 CV);Eléctrico;2026-01-19 17:40:00;239.0;325.0;Eléctrico (BEV);2021-03-01;OK
Tesla;Tesla Model 3 RWD;26490;68043.0;07/2023;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2023-07-01;OK
Tesla;Tesla Model 3 RWD;24490;32298.0;12/2022;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2022-12-01;OK
Tesla;Tesla Model 3 Standard RWD Plus;19690;85989.0;01/2020;239 kW (325 CV);Eléctrico;2026-01-19 17:40:00;239.0;325.0;Eléctrico (BEV);2020-01-01;OK
Tesla;Tesla Model 3 Performance Dual AWD;25690;84507.0;01/2020;360 kW (489 CV);Eléctrico;2026-01-19 17:40:00;360.0;489.0;Eléctrico (BEV);2020-01-01;OK
Tesla;Tesla Model 3 Gran Autonomía AWD;25990;84111.0;10/2022;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2022-10-01;OK
Tesla;Tesla Model 3 Gran Autonomía AWD;26990;78235.0;03/2022;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2022-03-01;OK
Tesla;Tesla Model 3 Gran Autonomía RWD;25890;91764.0;01/2020;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2020-01-01;OK
Tesla;Tesla Model 3 Gran Autonomía 4WD;22890;96000.0;03/2021;- kW (- CV);Eléctrico;2026-01-19 17:40:00;;;Eléctrico (BEV);2021-03-01;OK
Tesla;Tesla Model S 100D 4WD berlina con portón 345KW 5P;32890;86000.0;03/2018;100D 4WD berlina con portón 345KW 5P;Eléctrico;2026-01-19 17:38:00;345.0;470.0;Eléctrico (BEV);2018-03-01;OK
